type,experiment,arch,imgsz,seed,epochs,best_ep,mAP50,mAP50_95,precision,recall,last_mAP50,train_box,train_cls,val_box,val_cls,test_score,zip_mb,weights,azure_job,created,notes
training,yolov8x_expert_rare30,yolov8x,,,,,,,,,,,,,,,,azure,sweet_soursop_8gvdx2lbgw,2026-03-20T07:09:17,Not downloaded
training,yolov8l_960_s42,yolov8l,960,,,,,,,,,,,,,,,azure,bold_bulb_wll2l4l4sf,2026-03-19T22:28:09,Not downloaded
training,yolov8x_960_ms,yolov8x,960,,,,,,,,,,,,,,,azure,jolly_lime_k9qwmx3yks,2026-03-19T22:11:25,Not downloaded
training,yolov8x_multiscale_train,yolov8x,,,,,,,,,,,,,,,,azure,lemon_hair_wgqtfvt9zm,2026-03-19T21:03:40,Not downloaded
training,yolov8x_expert_rare50,yolov8x,,,,,,,,,,,,,,,,azure,patient_stamp_9n489jlcm0,2026-03-19T21:03:23,Not downloaded
training,yolo11l_640_onnx,yolo11l,640,,,,,,,,,,,,,,,azure,maroon_yacht_m85q6xhvgg,2026-03-19T20:23:00,Not downloaded
training,yolov8s_640_fast,yolov8s,640,,,,,,,,,,,,,,,azure,magenta_monkey_rxyhjf8w20,2026-03-19T20:07:59,Not downloaded
training,yolo11x_640_onnx,yolo11x,640,,,,,,,,,,,,,,,azure,tough_chain_2cy8wmkh7z,2026-03-19T19:50:09,Not downloaded
training,yolov8m_640_diverse,yolov8m,640,,,,,,,,,,,,,,,azure,frosty_calypso_7fy1j62tvl,2026-03-19T19:49:54,Not downloaded
training,yolov8l_640_highaug,yolov8l,640,,,,,,,,,,,,,,,azure,affable_sponge_8b84wz30b7,2026-03-19T19:49:40,Not downloaded
training,yolov8x_1280_highres,yolov8x,1280,,,,,,,,,,,,,,,azure,tough_stick_hmmdbgxgns,2026-03-19T19:49:03,Not downloaded
training,yolov8x_640_baseline,yolov8x,640,,,,,,,,,,,,,,,azure,eager_map_gh8pqr2w1n,2026-03-19T19:48:48,Not downloaded
submission,onnx_ensemble_fulldata_ms_tuned,,,,,,,,,,,,,,,0.9091,294.4,,,,WBF: fulldata_x+m_s77+s tuned
submission,onnx_ensemble_xms_tuned,,,,,,,,,,,,,,,0.9091,294.4,,,,WBF: fulldata_x+m_diverse+s tuned
submission,yolov8x_onnx_clean,,,,,,,,,,,,,,,0.7802,211.8,,,,Single x_640 seed42 ONNX baseline
submission,yolov8l_640_s77,,,,,,,,,,,,,,,0.77,137.8,,,,Single l_640 seed77 ONNX
submission,adv_all5,,,,,,,,,,,,,,,,294.4,,,,Adv: all features combined
submission,adv_tta,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA hflip
submission,adv_tta_2stage,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA+2stage(conf_type=max)
submission,adv_tta_expand10,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA+10%box expand
submission,baseline_fulldata_fp16,,,,,,,,,,,,,,,,120.8,,,,Single fulldata FP16
submission,best_ensemble_sahi,,,,,,,,,,,,,,,,294.1,,,,WBF+SAHI tiled
submission,best_ensemble_sahi_gallery,,,,,,,,,,,,,,,,296.9,,,,WBF+SAHI+gallery classifier
submission,onnx_ensemble_x500m,,,,,,,,,,,,,,,,258.2,,,,WBF: x_500ep+m_diverse
submission,onnx_ensemble_xm,,,,,,,,,,,,,,,,258.1,,,,WBF: x_640+m_diverse
submission,onnx_ensemble_xm_tuned,,,,,,,,,,,,,,,,258.1,,,,WBF: x_640+m_diverse tuned
submission,onnx_ensemble_xms,,,,,,,,,,,,,,,,294.4,,,,WBF: x_640+m_diverse+s
submission,onnx_fulldata800_ms,,,,,,,,,,,,,,,,294.4,,,,WBF: fulldata_x_800+m_s77+s
submission,onnx_fulldata_800px,,,,,,,,,,,,,,,,212.0,,,,Single fulldata_x 800px
submission,onnx_fulldata_mm,,,,,,,,,,,,,,,,340.7,,,,WBF: fulldata_x+m_diverse+m_s77
submission,onnx_fulldata_ms77_s,,,,,,,,,,,,,,,,330.8,,,,WBF: fulldata_x+m_s77+s
submission,onnx_fulldata_ms_conf001,,,,,,,,,,,,,,,,294.4,,,,
submission,onnx_fulldata_ms_wbf05,,,,,,,,,,,,,,,,294.4,,,,
submission,onnx_fulldata_ms_wbf06,,,,,,,,,,,,,,,,294.4,,,,
submission,softvote_3x_fp16,,,,,,,,,,,,,,0.9142,362.2,,,,SoftVote 3x_fp16 fulldata+s123+999
submission,softvote_3x_fp16_tta,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x_fp16+TTA
submission,softvote_3x_ms_tta,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x_fp16_dyn ms640+800+TTA
submission,softvote_ms_tta,,,,,,,,,,,,,,,,120.8,,,,SoftVote 1x fulldata_fp16 ms640+800+TTA
submission,twostage_yolov8l_s77,,,,,,,,,,,,,,,,224.0,,,,
submission,wbf_3x_fp16_tta,,,,,,,,,,,,,,,0.9160,362.2,,,,WBF 3x_fp16+TTA (comparison)
submission,yolov8x_lownms,,,,,,,,,,,,,,,,212.0,,,,Single x low NMS
submission,yolov8x_tuned,,,,,,,,,,,,,,,,212.0,,,,Single x tuned conf/nms
ens_sweep,wbf_conf0.005_iou0.7,,,,,,0.937,,,,,,,,,,,,,,det=0.9686 cls=0.8631 n=60369
ens_sweep,wbf_conf0.01_iou0.6,,,,,,0.9369,,,,,,,,,,,,,,det=0.9688 cls=0.8625 n=43971
ens_sweep,wbf_conf0.01_iou0.7,,,,,,0.9369,,,,,,,,,,,,,,det=0.9687 cls=0.8628 n=47591
ens_sweep,wbf_conf0.01_iou0.55,,,,,,0.9369,,,,,,,,,,,,,,det=0.9688 cls=0.8625 n=42829
ens_sweep,wbf_conf0.001_iou0.7,,,,,,0.9369,,,,,,,,,,,,,,det=0.9683 cls=0.8636 n=140872
sing_sweep,single_hard_conf0.001_iou0.7,,,,,,0.9055,,,,,,,,,,,,,,det=0.957 cls=0.7854 n=87369
sing_sweep,single_hard_conf0.001_iou0.6,,,,,,0.905,,,,,,,,,,,,,,det=0.9565 cls=0.7849 n=75310
sing_sweep,single_soft_conf0.001_iou,,,,,,0.9043,,,,,,,,,,,,,,det=0.9562 cls=0.7831 n=98034
training,fulldata_cls20_s42,yolov8x,640,42,200,,,,,,,,,,,,,,ashy_fish_1f7gdksg4y,2026-03-20T20:00:00,cls=2.0 fulldata
